assembly_accession	biosample	organism	rule_id	field	value	condition	evidence	detail	Host_SD	Host_TaxID	Host_Context_SD	Host_Health_State_SD	Host_Disease_SD	Isolation_Site_SD	Isolation_Source_SD	Sample_Type_SD
GCA_051488525.1	SAMN48875368	Acinetobacter baumannii	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056648045.1	SAMN56814260	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056812535.1	SAMN50509279	Escherichia coli	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_056963015.1	SAMN50492080	Alistipes sp.	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_032412025.1	SAMEA111551545	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Capreolus capreolus	9858				manure	clinical/host-associated material	feces/stool
GCA_012366015.2	SAMN07781707	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_021284925.1	SAMN24183519	Enterobacter hormaechei	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_021562495.1	SAMN25220632	Salmonella enterica	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Gallus gallus	9031				manure		manure
GCA_021563395.1	SAMN25221465	Salmonella enterica	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Gallus gallus	9031				manure		manure
GCA_024668385.1	SAMN29955716	Campylobacter jejuni	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_024669445.1	SAMN29955745	Campylobacter jejuni	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_024669505.1	SAMN29955754	Campylobacter jejuni	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_027271585.1	SAMN32247531	Escherichia coli	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Aves	8782		diseased	diseased		clinical/host-associated material	
GCA_032816475.1	SAMN35758852	Campylobacter jejuni	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Metazoa	33208				manure	environmental material	manure
GCA_032817165.1	SAMN35758837	Campylobacter jejuni	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Metazoa	33208				manure	environmental material	manure
GCA_032817665.1	SAMN35758905	Campylobacter jejuni	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Metazoa	33208				manure	environmental material	manure
GCA_040522825.1	SAMN42336747	Listeria monocytogenes	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_040523095.1	SAMN42336775	Listeria monocytogenes	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_040552615.1	SAMN42369795	Salmonella enterica subsp. enterica serovar Typhimurium	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_050281805.1	SAMN47201002	Pseudomonas sp.	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_054462155.1	SAMN54437653	Salmonella enterica	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Aves	8782				manure		manure
GCA_905369845.1	SAMEA8391439	Prevotella pallens	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy				healthy/control	healthy/no disease reported		clinical/host-associated material	
GCA_000412715.2	SAMN02472181	Pseudomonas plecoglossicida NB2011	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Larimichthys crocea	215358		diseased	diseased	organ/tissue site	clinical/host-associated material	
GCA_913775155.1	SAMEA8943782	uncultured Chryseobacterium sp.	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy				healthy/control	healthy/no disease reported		clinical/host-associated material	DNA extract
GCA_000817815.1	SAMN02946409	Vibrio owensii CAIM 1854 = LMG 25443	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Panulirus ornatus	150431		diseased	diseased		clinical/host-associated material	
GCA_013362835.1	SAMN14571679	Nonomuraea sp.	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy				healthy/control	healthy/no disease reported		environmental material	
GCA_021229695.1	SAMN23895789	Escherichia coli	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present				healthy	healthy/no disease reported	rectum/perianal region	clinical/host-associated material	rectal swab
GCA_026230605.1	SAMN31151459	Aeromonas veronii	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Ictalurus punctatus	7998		diseased	diseased		clinical/host-associated material	
GCA_029283105.1	SAMN33771820	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	clinical/host-associated material	feces/stool
GCA_027587195.1	SAMN31418975	Solirubrobacter phytolaccae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Phytolacca acinosa	3528		healthy	healthy/no disease reported	root	plant-associated material	
GCA_030440575.1	SAMN13404516	Corynebacterium ciconiae DSM 44920	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Ciconia nigra	36241		healthy	healthy/no disease reported	lower respiratory tract/bronch/pleural cavity	clinical/host-associated material	culture
GCA_042158525.1	SAMN42090646	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_054783535.1	SAMD00809344	Streptomyces sundarbansensis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy				healthy/control	healthy/no disease reported		clinical/host-associated material	
GCA_056467925.1	SAMN56813007	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056469645.1	SAMN56812576	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056469745.1	SAMN56812575	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056488465.1	SAMN56813071	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057038665.1	SAMN50509566	Oscillospiraceae bacterium	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_003059045.1	SAMN08381277	Helicobacter pylori	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	gut content
GCA_011525545.1	SAMN13675789	Staphylococcus sp.	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_012400265.1	SAMN12667788	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_012401965.1	SAMN12547364	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_026151735.1	SAMN31538069	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Sus scrofa domesticus	9825		healthy	healthy/no disease reported		clinical/host-associated material	tissue
GCA_030385745.1	SAMN34359378	Bacteroides gallinaceum	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	same destination value already present	Gallus gallus	9031		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	gut content
